; AutoGen 1.5 recognition database recovered from DirectAccess 5.19
; primary|support file 1|support file 2|program|category|company
HAL.EXE|HALDEMO.COM||Lotus Hal|Spreadsheets|Lotus Development Corp.
MS.EXE|MSMENU.EXE||Lotus Manuscript|Word Processing|Lotus Development Corp.
REPORT.EXE|RINSTALL.EXE||Lotus Report Writer|Spreadsheets|Red Wing Business Systems, Inc
SYMPHONY.EXE|SYMPHONY.CNF||Lotus Symphony|Integrated|Lotus Development Corp.
LTA.EXE|SYS$LOG.DAT||LT Auditor|Utilities|Blue Lance Inc.
LTEVENT.EXE|LTEVENT.BTV||LT Event|Utilities|Blue Lance Inc.
LTSTAT.EXE|STAT.HLP||LT Stat|Utilities|Blue Lance Inc.
MACE.EXE|||Mace 5|Utilities|Fifth Generation Systems, Inc.
MACE.EXE|||Mace Gold|Utilities|Fifth Generation Systems, Inc.
XFDISK.COM|HFORMAT.COM|HTEST.COM|Mace Hard Disk|Utilities|Paul Mace Software
MACE.EXE|FRAGCHK.EXE||Mace Utilities|Utilities|Fifth Generation Systems, Inc.
VACCINE.EXE|SURVEY.EXE||Mace Vaccine|Utilities|Fifth Generation Systems, Inc.
ME.EXE|MEM.MEX||Macro Editor|Applications|Wordperfect Corp.
MN.EXE|MN.CAP||Magic Mirror|Utilities|Softlogic Solutions, Inc.
CTL.BAT|MGHELP.BAT||Magic PC|Databases|Aker Corp.
MS.EXE|FLASH.EXE|SCRAMBLE.EXE|Magic Spells|Education|Learning Co. (the)
ECOMP.EXE|||Magnatype- Compugraphic|Desktop Publish|Magna Computer Systems, Inc.
JCOMP.EXE|||Magnatype- Compugraphic|Desktop Publish|Magna Computer Systems, Inc.
CCOMP.EXE|||Magnatype- Linotype 202|Desktop Publish|Magna Computer Systems, Inc.
BCOMP.EXE|||Magnatype- Linotype 300|Desktop Publish|Magna Computer Systems, Inc.
LCOMP.EXE|||Magnatype- Postscript|Desktop Publish|Magna Computer Systems, Inc.
MJVGA.EXE|PAL.CFG|V54.ICN|Mah Jongg 1.1|Games|Ron Balewski
MAI.BAT|OP||MAI/Integrated|Applications|Promark, Ltd.
MAILEX.EXE|MEX.HLP||Mail Express|Applications|Vision Software
MTM.BAT|||Managing The Market|Applications|Meca Ventures, Inc.
MYM.EXE|BUDGET.EXE|PORTFOL.EXE|Managing Your Money|Applications|Meca Ventures, Inc.
MBS.EXE|||Mandelbrot Set|Graphics|IBM
MAPINFO.COM|MAPINFOP.EXE|HCONFIG.EXE|MapInfo|Graphics|Mapinfo, Inc.
MM1.EXE|||Mapmaker|Graphics|Select Micro Systems, Inc.
MASS11.COM|M11WORDP.EXE||Mass-11|Word Processing|Microsystems Engineering Corp.
MBP.COM|MBPTEXT.DAT|MTK.BIN|Math Blaster Plus|Education|Davidson And Associates, Inc.
MR.EXE|MRCLOWN.IND|GYPSY.CMP|Math Rabbit|Education|Learning Co. (the)
MCAD.EXE|MCAD.HLP||Mathcad|Education|Mathsoft, Inc.
MET.BAT|KG16.COM|HIMATH.EXE|Mathematics Exploration|Education|IBM
MAVIS.EXE|MAVISC.DAT|LOGIC.AI|Mavis Beacon Typing|Education|Software Toolworks, Inc.
MXZ.BAT|SSS_MAIN.EXE||Maximizer|Project Mgmt|Richmond Software, Inc.
GOLF.EXE|GOLF.DAT||Mean 18 Golf|Games|Accolade
MS.EXE|CAR.ACC||Mean Streets|Games|Access Software, Inc.
ANALYST.COM|||MI-Analyst|Applications|Budget Computer, Inc.
COOKBOOK.EXE|MCI.INI||Micro Cookbook|Applications|Pinpoint Publishing
MI1000.EXE|PS1000.EXE||Micro Illustrator|Desktop Publish|Island Graphics Corporation
MISII.EXE|||Micro Stat II|Applications|Ecosoft, Inc.
MPSYCH.BAT|PSYCH.MFT|PSYCH.MFX|Micro-Psych|Applications|Magnum Medical Software
DESIGNER.EXE|METALIB.EXE||Micrographix Designer|Windows Apps|Micrografx, Inc.
BOOKS.EXE|||Microsoft Bookshelf|Applications|Microsoft
CL.EXE|C1.EXE|C1L.EXE|Microsoft C|Programming|Microsoft
CHART.COM|MC.INI|MC.SYS|Microsoft Chart|Graphics|Microsoft
EXCEL.EXE|EXCELHLP.HLP||Microsoft Excel|Windows Apps|Microsoft
LEARN.COM|LD.PGM|LEARN.PIF|Microsoft Learning DOS|Education|Microsoft
MP.EXE|MP.INI||Microsoft Multiplan|Spreadsheets|Microsoft
PAINT.BAT|PBRUSH.EXE|PBRUSH.INI|Microsoft Paintbrush|Graphics|Microsoft
PROJ.COM|PROJ.INI|PROJ.PGM|Microsoft Project|Project Mgmt|Microsoft
QB.EXE|LINK.EXE|BUILDLIB.EXE|Microsoft Quick Basic|Programming|Microsoft
QB.EXE|QB.LIB|QB.QLB|Microsoft Quick Basic|Programming|Microsoft
QC.EXE|QC.INI||Microsoft Quick C|Programming|Microsoft
QP.EXE|QPMKKEY.EXE|QPL.COM|Microsoft Quick Pascal|Programming|Microsoft
PAINT.EXE|||Microsoft Windows Paint|Windows Apps|Microsoft
WRITE.EXE|||Microsoft Windows Write|Windows Apps|Microsoft
WORD.COM|MW.INI||Microsoft Word 4|Word Processing|Microsoft
WORD.EXE|WORD.PIF||Microsoft Word 5|Word Processing|Microsoft
WORKS.EXE|WORKS.INI||Microsoft Works|Integrated|Microsoft
WORKS.EXE|WORKS.INI|SCREEN.GSD|Microsoft Works|Word Processing|Microsoft
MS.EXE|MSINST.EXE||Microstar|Word Processing|Bank Of America
MILESTON.COM|||Milestone|Project Mgmt|Digital Marketing Corp.
MINDVIEW.EXE|MINDVIEW.PKB|MINDVIEW.SBJ|Mindviewer|Applications|Provocative Software, Inc.
MIRAGE.EXE|||Mirage|Graphics|Datasoft Int'l.
MIRROR.EXE|PRISM.MAF||Mirror|Communications|Softklone
MC5.EXE|FM5.EXE||Money Counts|Applications|Parsons Technology
MOVE-IT.COM|||Move-it Communications|Communications|Woolf Software Systems
RUN.EXE|||Multi-Base|Databases|Cykic Software, Inc
MM.EXE|MM.OV1|MM.OV2|Multimate|Word Processing|Ashton-Tate
MM.EXE|WP.EXE|WP.SER|Multimate Advantage II|Word Processing|Ashton-Tate
MAX.EXE|||Multimax|Utilities|Getc Software
MUSIC|||Music Library System|Databases|The Software Guild
MVPFORTH.EXE|||MVP-Forth 1|Programming|Bell-Atlantic
F.EXE|MYOVR1.OVL|MYOVR2.OVL|Mybase|Databases|Useful Software, Inc.
MYLABEL.EXE|||MyLabelMaker|Applications|MySoftware Co.
MYSTAT.BAT|||Mystat|Applications|Systat, Inc
NAMER.EXE|SYN1.FIL|SYN1X.FIL|Namer By Salinon|Applications|Salinon Software, Inc.
NBA.EXE|||NBA|Games|Avalon Hill
DIALOG.COM|||Networker Plus|Utilities|Wordtech Systems, Inc.
NEWS.EXE|NEWS.CFG||Newsmaster|Desktop Publish|Unison World
NFL.EXE|PACKERS.NFL||NFL Challenge|Games|XOR Corp.
NC.EXE|NCSMALL.EXE||Norton Commander|Utilities|Peter Norton Computing, Inc.
NU.EXE|NI.EXE|SD.EXE|Norton Utilities|Utilities|Peter Norton Computing, Inc.
NORTON.EXE|||Norton Utilities|Utilities|Symantec
NB.EXE|NBMASTER.COM|NBL.OVL|Nota Bene|Word Processing|Dragonfly Software
NB.EXE|NOTABENE.MAS|NBMASTER.COM|Nota Bene|Word Processing|Equal Access Systems, Inc.
NOTE.COM|TRNSNOTE.COM|PAD.WKS|Note-it|Spreadsheets|Turner Hall Publishing
NOTEPLUS.EXE|NOTEPLUS.HLP||Note-it Plus|Utilities|Symantec
NB.EXE|NOTEBOOK.FIL|NOTEBOOK.HLP|Notebook|Applications|Wordperfect Corp.
FCONSOLE.EXE|||Novell - Fconsole|Utilities|Novell Inc.
FILER.EXE|||Novell - Filer|Utilities|Novell Inc.
PCONSOLE.EXE|||Novell - Pconsole|Utilities|Novell Inc.
SYSCON.EXE|||Novell - Syscon|Utilities|Novell Inc.
NUTSHELL.EXE|||Nutshell|Databases|Claris Corp.
NUTPLUS.EXE|||Nutshell Plus|Databases|Claris Corp.
OP.COM|||Office Publisher|Desktop Publish|Office Publisher, Inc.
WP.COM|OWEDIT.OVL||Office Writer|Word Processing|Software Publishing Corp.
WP.COM|OWMACRO.COM|OWCONFIG.DAT|Office Writer|Word Processing|Software Publishing Corp.
OMEGA.EXE|SPLASH.TLB||Omega|Games|Origin Systems, Inc
QUARTZ.EXE|||Omnis Quartz|Databases|Blyth Software, Inc.
OB.EXE|OB.CGA|OB.EGA|On Balance|Applications|Broderbond Software, Inc.
ONCE.EXE|||Once Upon a Time|Education|Compu-Teach, Inc.
1ON1.EXE|1ON1.PIX||One On One|Games|Electronic Arts
OWP.BAT|||One-Write Accounting|Applications|Great American Software
OPLAN.BAT|PDMPLACE.EXE||Open Plan|Project Mgmt|Welcom Software Technology
OSAS.BAT|OSMENU||Open Systems Accounting|Applications|Open Systems, Inc.
OPTUNE.EXE|||Optune|Utilities|Gazelle Systems
ORG.EXE|CNFG.BIN||Org Plus|Graphics|Banner Blue
ORG.EXE|CHART.EXE||Org Plus Advanced|Graphics|Banner Blue
PACMAN.EXE|||PacMan|Games|Datasoft Int'l.
PM.EXE|PM.CNF|(C)ALDUS.'88|Pagemaker|Desktop Publish|Aldus
PAGEONE.COM|||Pageone|Word Processing|QAX Int. Systems
PARADOX.EXE|||Paradox|Databases|Borland International
PARADOX2.EXE|PARADOX2.OV1|PARADOX2.OV2|Paradox 2|Databases|Borland
PARADOX3.EXE|PARADOX3.OV1|PARADOX3.OV2|Paradox 3|Databases|Borland
PM.EXE|CONFIG.PM4||Pathminder|Utilities|Westlake Data Corp.
FOCUS.EXE|||PC / Focus|Databases|Information Builders, Inc.
ANYWHERE.EXE|ANYWHERE.CNF|ACANCEL.EXE|PC Anywhere|Communications|DMA
PC-DIAL.EXE|||PC Dial|Communications|Buttonware, Inc.
FULLBAK.COM|FULLBAK.LOG||PC FullBak|Utilities|Westlake Data Corp.
PCLINK.COM|||PC Link|Communications|Tandem Computers
PCPAINT.EXE|PAPAINT.OVR|PCPAINT.CFG|PC Paint Plus|Graphics|Mouse Systems Corp.
PAINT.BAT|PBSETUP.EXE|PBSETUP.SCR|PC Paintbrush Plus|Graphics|Zsoft Corp.
TEX.EXE|||PC Tex|Desktop Publish|Personal Tex, Inc.
PCTOOLS.EXE|FORMAT.BAT|PCRESTOR.EXE|PC Tools|Utilities|Central Point Software
PCBACKUP|||PC Tools - Backup|Utilities|Central Point Software
COMPRESS.EXE|||PC Tools - Compress|Utilities|Central Point Software
DESKTOP.EXE|||PC Tools - Desktop|Utilities|Central Point Software
MIRROR.COM|||PC Tools - Mirror|Utilities|Central Point Software
PCSHELL.EXE|PCSHELL.OVL||PC Tools - Shell|Utilities|Central Point Software
ED.EXE|ED.DEF||PC Write|Word Processing|Quicksoft, Inc.
PCF.EXE|PCFILE.PRO|PCF.HLP|PC-File+|Databases|Buttonware, Inc.
PCF.EXE|PCF.HLP|PCFIX.EXE|PC-File:db|Databases|Buttonware, Inc.
FULLBAK.EXE|FULLBAK.LOG||PC-FullBak|Utilities|Westlake Data Corp.
PCLPAK.EXE|||PCL Pak|Utilities|Hewlett Packard
PCUSA.EXE|||PCUSA|Applications|PC Globe
PEACH.EXE|UTILBA.EXE|MENU8.OVL|Peachtree Accounting|Applications|Peachtree Software, Inc.
PENPLOT.EXE|PENPLOT.HLP||Penplot|Applications|Generic Software, Inc.
PERFORM.BAT|PERFORM.EXE||Per:form|Desktop Publish|Delrina Technology, Inc.
BCHECK3.EXE|||Personal Checking|Applications|Heizer Software
PCONLINE.EXE|||Personal Consultant|Applications|Texas Instruments
RBASE.EXE|FORMS.MSG|RBLABEL.MSG|Personal R:Base|Databases|Microrim
FILE.EXE|||PFS:File|Databases|Software Publishing Corp.
FIRST.EXE|FIRST1.OVL||PFS:First Choice|Integrated|Software Publishing Corp.
PF.EXE|PF.OVL|PF.PRI|PFS:First Publisher|Desktop Publish|Software Publishing Corp.
PLAN.EXE|||PFS:Plan|Project Mgmt|Software Publishing Corp.
PF.EXE|||PFS:Professional File|Databases|Software Publishing Corp.
PW.COM|PW.PRG|PW.PRI|PFS:Professional Write|Word Processing|Software Publishing Corp.
PROOF.EXE|||PFS:Proof|Word Processing|Software Publishing Corp.
REPORT.EXE|RINSTALL.EXE||PFS:Report|Project Mgmt|Software Publishing Corp.
CRAZE.EXE|||Phrase Craze|Games|Excelsior Systems
PIXIE.EXE|||Pixie|Graphics|Zenographics, Inc.
PZ.COM|||Pizazz|Graphics|Application Techniques, Inc.
PZP.COM|PZP.PZX||Pizazz Plus|Graphics|Application Techniques, Inc.
PL.EXE|PL.DRS|PL.MRS|Plan Perfect|Spreadsheets|Wordperfect Corp.
PLANETS.COM|||Planets|Education|Aladdin Software
PACKRAT2.EXE|PACKRAT2.OVR||Polaris Pack Rat|Windows Apps|Polaris Software
PQ.COM|PQSG.1|AGIDATA.OVL|Police Quest|Games|Sierra On-line, Inc.
PM.EXE|SF.VAR|PERSMAN.VOL|Policy Manual|Applications|PSI Research
START.EXE|8X8D1.DAX|BODY1.DAX|Pool Of Radiance|Games|Strategic Simulations, Inc.
PB.EXE|PBCONFIG.TAB||Powerbase|Databases|Compuware
PB.EXE|PBCONFIG.USR||Powerbase|Databases|Compuware
PB.EXE|PBCONFIG.NET||Powerbase - Network|Databases|Compuware
PC.EXE|CASH.OVL|CASH.SET|Premium-Cash|Applications|Intellect Software Corp.
PPC.EXE|PREMIUM.OVL|PREMIUM.SET|Premium-PC|Applications|Intellect Software Corp.
PRESENT.EXE|MODERN.FNT||Present-It|Graphics|Power Up Software Corp.
DELITE.BAT|||Prestige Elite|Word Processing|Bitstream, Inc.
PRESTIGE.BAT|HOLIDAY.SCR||Prestige PC Forms|Desktop Publish|K & H Professional Management
PT.EXE|PT.MAD|PTFMT.PRM|Primetime Personal|Applications|Wiseware, Inc.
PS.EXE|PRLIST.PSF|SCRFONT.PSF|Print Shop|Desktop Publish|Broderbond Software, Inc.
PM.BAT|PMMAIN.EXE||Printmaster|Graphics|Unison World
PM.EXE|SET.UP||Printmaster Plus|Graphics|Unison World
PM.COM|PM.HLP||Printmate|Utilities|Micrologic Software, Inc.
PT.EXE|PRINTOOL.EXE||PrinTool|Utilities|Data Safe Corp.
PRINTRIX.EXE|||Printrix|Word Processing|Data Transforms, Inc.
PROCOMM.EXE|CMDCNVT.EXE||Procomm|Communications|Datastorm Technologies
PCPLUS.EXE|PCEDIT.EXE|PCKEYMAP.EXE|Procomm Plus|Communications|Datastorm Technologies
PRODIGY.BAT|||Prodigy 2.1|Communications|Prodigy Services Company
PRODIGY.EXE|||Prodigy 3.1|Communications|Prodigy Services Company
PWP.EXE|||Professional Writers|Word Processing|Software Publishing Corp.
INSTRUCT.EXE|START.DAT|INDEX.DAT|Professor DOS!|Education|Individual Software, Inc.
PW.BAT|SUPPORT.EXE||ProfitWise|Applications|Solomon Software
PE.EXE|PE.TBL|PEM.MEX|Program Editor|Word Processing|Wordperfect Corp.
PS4.EXE|PSONE.OVL||Project Scheduler 4|Project Mgmt|Scitor Corporation
PROTRACS.EXE|||Protracs|Project Mgmt|Applied Microsystems, Inc.
PTIHP.EXE|||PTI Laser/HL|Desktop Publish|Personal Tex, Inc.
PUBLISH.BAT|PUBLISH.OVL||Publish-it|Desktop Publish|Time Works
PAINT.BAT|PCINSTAL.EXE|PBRUSH2.OVL|Publisher's Paintbrush|Graphics|Zsoft Corp.
PURCHASE.COM|||Purchase Order|Applications|Applied Information Management
PYRO.EXE|CLOCK.PYR||Pyro!|Utilities|Fifth Generation Systems, Inc.
QA.COM|QA.DIS||Q & A|Databases|Symantec
QA.COM|QA1.EXE|QAWP.OVL|Q & A|Databases|Symantec
QA3.COM|QA.DIS||Q & A|Databases|Symantec
QW.COM|QW1.EXE||Q & A Write|Word Processing|Symantec
QD.EXE|||Q-DOS|Utilities|Gazelle Systems
QD2.EXE|||Q-DOS II|Utilities|Gazelle Systems
QMODEM.EXE|||Qmodem|Communications|Forbin Project
QSORT.EXE|||Qsort|Utilities|Structured Systems Group
Q.EXE|Q2.OVL|Q4.OVL|Quattro|Spreadsheets|Borland
Q.EXE|QUATTRO.RSC||Quattro|Spreadsheets|Borland
Q.EXE|||Quattro Pro|Spreadsheets|Borland International
QUBECALC.COM|||Qubecalc|Spreadsheets|Formalsoft
Q.EXE|Q.CFG||Quicken|Applications|Intuit
Q.EXE|Q.CNF||Quicken|Applications|Intuit
DB3C.EXE|DB3L.EXE||Quicksilver|Databases|Quicksilver Corp.
MAILMATE.EXE|||Quincy Mailmate|Applications|Quincy Street Corp.
RR.EXE|RR.OVL||R&R Relational Report|Databases|Concentric Data Systems, Inc.
RW.EXE|RW.OVL|RW.HFC|R&R Worksheet Report|Spreadsheets|Concentric Data Systems, Inc.
WSM.EXE|||Ramis PC / Workstation|Databases|Digital Learning Systems, Inc.
RAMPAGE.EXE|OSHAPES.P16|BLOCKS.P16|Rampage|Games|Activision, Inc.
SCREEN.COM|PROTO.COM||Rapid Prototyping|Utilities|Genesis Data Systems
RF.COM|OVERLAY.OVL||Rapidfile|Databases|Ashton-Tate
RBASE.EXE|RBASE.OVL||Rbase|Databases|Microrim, Inc.
RBASE.EXE|RBASEI.ID|INITIAL.RBS|Rbase|Databases|Microrim, Inc.
RBSYSTEM.EXE|||Rbase System V|Databases|Microrim, Inc.
RR.EXE|RNR.EXE||Read 'n Roll|Education|Davidson And Associates, Inc.
RR.EXE|RRTITLE|RASHAPES.IND|Reader Rabbit|Education|Learning Co. (the)
MASTER.COM|||Real World Accounting|Applications|Monterey Computer Consulting
RPOINT.EXE|||Reference Point|Utilities|LAN Systems Inc.
REFLECT.EXE|CONVERT.EXE||Reflection|Utilities|IMSI
REFLEX.EXE|SCRNDRV.RX||Reflex|Databases|Borland
REFRESE.EXE|||Refresh|Utilities|Soft Logic Solutions
RELAY.COM|RELAY.MSG||Relay Gold|Communications|Microcom Software Division
R2CALL.EXE|R2CALL.USR||Remote2 Call|Communications|Crosstalk Communications
R2HOST.COM|R2.USR||Remote2 Host|Communications|Crosstalk Communications
RESCUE.COM|RESQDISK.COM||RESCUE Plus|Utilities|Spectrum Computer Consulting
REV.EXE|REVBOOT||Revelation|Applications|Cosmos
RIGHT.EXE|COMBINE.DCT||RightWriter|Word Processing|Rightsoft, Inc.
RIGHT.EXE|RWCONFIG.DCT||RightWriter|Word Processing|Rightsoft, Inc.
ROCMENU.COM|ROCAON.COM|ROCCHAL.COM|Rocky's Boots|Education|Learning Co. (the)
ROLODEX.COM|RDODATA.NDX||Rolodex Simulator|Applications|Dac Software, Inc.
SM.EXE|SMSY001.EXE||Sales Manager|Applications|Market Power Computer Innovati
SAMNA.COM|||Samna Word IV|Word Processing|Samna Corp.
SARGON.EXE|SARGON4.DEF||Sargon 4|Games|Spinnaker Software
SCANRIX.EXE|RIXINFO.EXE||ScanRIX|Applications|Rix Softworks, Inc.
SCRABBLH.EXE|||Scrabble|Games|Electronic Arts
CDUSA.BAT|CDUSAP.EXE|QEDITP.EXE|See the USA|Education|Compu-Teach, Inc.
SOM.EXE|||Shadows of Mordor|Games|Addison Wesley Publishing
PCSHANG.BAT|||Shanghai|Games|Mediagenic/Solid Gold Software
SHELL.COM|SHELL.FIL|SHELL.HLP|Shell|Applications|Wordperfect Corp.
SHULTZ.EXE|||Shultz's Treasure|Games|Computer Easy Int'l.
SKN.EXE|||Sidekick|Utilities|Borland International
SIDEWAYS.COM|SIDEWAYS.APP|SWSETUP.COM|Sideways|Utilities|Funk Software, Inc.
SW123.EXE|||Sideways|Spreadsheets|Funk Software, Inc.
SM.BAT|SM.EXE||Sign-Master|Desktop Publish|Ashton-Tate
ACCESS.COM|SILK2WKS.EXE|SILK2WK1.EXE|Silk|Spreadsheets|Daybreak Technologies, Inc.
SILVER.EXE|||Silverado|Spreadsheets|Computer Associates
SIMCITY.EXE|DULLSVIL.PSN||Sim City|Games|Broderbond Software, Inc.
BKKP.EXE|||Simple Bookkeeper|Applications|A.P. Software
SKY1.COM|||Sky Runner|Games|Spinnaker Software
MAIN.EXE|SELFTEST.SBE|HELP1.SBE|Small Business Expert|Applications|PSI Research
SMART.EXE|CONFIGUR||Smart|Integrated|Informix
SF.BAT|SMARTFC2.COM||Smart Forecasts II|Applications|Smart Software
SMOVE.EXE|SHOWMOVE.EXE||Smart Move|Communications|Persoft, Inc.
SMART.COM|OVFILE0.||Smart System|Integrated|Informix
ST320.EXE|SHOW320.EXE||Smart Term 320|Communications|Persoft, Inc.
SW_B.EXE|||Smart Words|Word Processing|Addison Wesley Publishing
SCOM.EXE|SCOM.OVR||Smartcom|Communications|Hayes
SCOM.EXE|MAIN_SCN.OVL||Smartcom II|Communications|Hayes
SCOM3.EXE|||Smartcom III|Communications|Hayes
ST220.EXE|ST220.HSU||SmarTerm 220|Communications|Persoft, Inc.
ST240.EXE|ST240.HSU||SmarTerm 240|Communications|Persoft, Inc.
ST400.EXE|ST400.HSU||SmarTerm 400|Communications|Persoft, Inc.
HDRUN.BAT|SMOOTH.CON|MALE.EXE|Smooth Talker|Education|First Byte
SOFTSAFE.EXE|||Softsafe|Utilities|Software Directions, Inc.
SB.EXE|SCCSETUP.DEF|SCC_4D.RTL|Software Bridge|Utilities|System Capability
SB.EXE|WPF5CONV.EXE||Software Bridge|Word Processing|Systems Compatibility Corp.
SOLOMON.BAT|SUPPORT.EXE||Solomon III Accounting|Applications|Solomon Software
SQ.BAT|SIERRA.COM||Space Quest|Games|Sierra On-line, Inc.
SR.EXE|VSTAR.LBM||Space Rogue|Games|Origin Systems, Inc
SDP.EXE|||Spellbinder Desktop|Desktop Publish|L/Tek, Inc.
SPELLBRE.COM|SPELLBRE.DAT||Spellbreaker|Games|Infocom, Inc.
SPFPC.EXE|SPFPC.MSG||SPF/PC|Word Processing|Command Technology Corp.
SPLASH.EXE|HELP.MNU||Splash!|Graphics|Spinnaker
SP.COM|SP.OVL||Sprint|Word Processing|Borland
SP.EXE|SP.OVL||Sprint|Word Processing|Borland
SQ2.EXE|UNSQ2.EXE|SQZ.ADN|Sqz! Plus|Spreadsheets|Turner Hall Publishing
STARWARS.EXE|STARWARS.HSC||Star Wars|Games|Broderbond Software, Inc.
STATGRAF.EXE|||Statgraphics|Applications|Stsc, Inc.
STS.EXE|||Stats+|Applications|StatSoft, Inc.
ST.EXE|SETUP.EXE|ACCO.PPK|Steel Thunder|Games|Accolade
MAIN.EXE|SBG.HLP||Stella Business Graph.|Graphics|Stella Systems
STEP.EXE|||Stepping Stones|Education|Compu-Teach, Inc.
STOCK.COM|||Stock Trader|Applications|DSF Associates
SWW.EXE|SWW-C.EXE|SWW-E.EXE|Success With Writing|Education|Scholastic, Inc.
SPACMAN.EXE|THUNDER.PIC||Super Pac Man|Games|Thunder Mountain
SSR.EXE|ROCKET.DAT|DROCKET.GRA|Super Solvers Rescue|Education|Learning Co. (the)
SBFD4W.EXE|||SuperBase Form Designer|Windows Apps|Precision, Inc.
SB2W.EXE|||SuperBase II|Windows Apps|Precision, Inc.
SB4W.EXE|||SuperBase IV|Windows Apps|Precision, Inc.
SC2.COM|SC2.OVL||Supercalc 2|Spreadsheets|Computer Associates
SC3.COM|SC3.OVL||Supercalc 3|Spreadsheets|Computer Associates
SC4.COM|SC4.OVL||Supercalc 4|Spreadsheets|Computer Associates
SC5.COM|SC5.OVL||Supercalc 5|Spreadsheets|Computer Associates
SPJPLUS.EXE|SPJPLUS.HLP||Superproject Plus|Project Mgmt|Computer Associates
SP.EXE|DESK.OVY|FILE1.OVY|Surpass|Spreadsheets|Software Systems, Inc.
SYSTAT.COM|SYSTAT.DEF||Systat|Applications|Systat, Inc
T3.COM|T3CALC.OVL|T3SETUP.EXE|T390|Applications|STM Systems Corp.
BOOKS.EXE|TAS.EXE||TasPlus Relational Data|Databases|Business Tools, Inc.
TAX.BAT|||Tax Preparer|Applications|Howardsoft
TAXVIEW.COM|||TaxView|Applications|Softview, Inc.
MAGIC.EXE|MAGIC.OVL|TMMEM$$$.MEM|Telemagic|Project Mgmt|Remote Control International
TELLSTAR.EXE|NORTH.EXE|SOUTH.EXE|Tellstar|Education|Spectrum Holobyte
TELPAC.COM|TELPACC.EXE|TELPAC.CNF|Telpac|Communications|Usrobotics
TESTDRIV.COM|||Test Drive|Games|Accolade
TM.EXE|~NU.EXE||Textmate|Word Processing|Professional Software, Inc.
TEXTRA.EXE|||Textra|Word Processing|Ann Arbor Software
AU.EXE|AU.COM|AU.HLP|The Auditor|Spreadsheets|Consumers Software, Inc.
BARD.EXE|||The Bard's Tale|Games|Electronic Arts
CHOICE.EXE|CWGEN16.FRM|CWGEN18.FRM|The Broker's Choice|Applications|Pacesetter Software
ATC.EXE|||The Coordinator|Project Mgmt|Action Technologies
GATE.EXE|GATE.PRN||The Gate|Utilities|Claire Systems
TGL.EXE|||The Graphics Link|Graphics|Harvard Systems Corp.
HOBBIT.EXE|||The Hobbit|Games|Addison Wesley Publishing
IDEA.EXE|IDEA.MOD|IDEA.GEN|The Idea Generator|Applications|Experience In Software, Inc.
IMP.EXE|HELP.IMP|MENU.IMP|The Impersonator|Communications|Direct-Aid
MUSIC.EXE|MSTUDIO.PDM||The Music Studio|Applications|Activision, Inc.
NRPRO.EXE|NPO.EXE||The Newsroom Pro|Desktop Publish|Springboard Software, Inc.
SB.EXE|SC.OVL||The Secretary Bird|Integrated|Software Toolworks, Inc.
THEXDER.COM|ROBOT.BIN|BANK.BIN|Thexder|Games|Sierra On-line, Inc.
TQ.EXE|SHOW2.SHW||Think Quick!|Education|Learning Co. (the)
TANK.EXE|||Thinktank|Word Processing|Symantec
COURIER.BAT|OBJECTS.RES|PEOPLE.RES|Third Courier|Games|Accolade
TIM.EXE|||Tim|Applications|Timeslips Corporation
TIMELINE.EXE|TLCNFG.DAT||Time Line|Project Mgmt|Symantec
LORE.EXE|TOL.CH|KNIGHT|Times Of Lore|Games|Origin Systems, Inc
TSREPORT.COM|TSTIMER.COM||Timeslips 2.3|Applications|Timeslips Corporation
TSREPORT.EXE|TSTIMER.COM||Timeslips III|Applications|Timeslips Corporation
TSREMOTE.EXE|||Timeslips Remote|Communications|Timeslips Corporation
TK.EXE|TK.CFG||TK!SolverPLUS|Applications|Universal Technical Systems
TOPGUN.BAT|||Top Gun|Games|Thunder Mountain
TOPDOS.COM|||Topdos|Utilities|Frontrunner Development Corp.
TOPSMENU.EXE|||Tops|Communications|Sun Microsystems
TW.EXE|||Total Word|Word Processing|Lifetree Software, Inc.
TRACKER.EXE|TRACKER.COM||Tracker|Databases|Argos, Inc.
TRINITY.COM|TRINITY.DAT||Trinity|Games|Infocom, Inc.
TRIO.EXE|||Trio|Integrated|Softsync, Inc.
TRIO.EXE|TRIO.CFG||Trio Plus|Integrated|Softsync, Inc.
TRIX.EXE|RIXINFO.EXE||TRIX|Applications|Rix Softworks, Inc.
TASM.EXE|OBJXREF.COM|TASM.TAH|Turbo Assembler|Programming|Borland International
TC.EXE|TURBOC.CFG||Turbo C|Programming|Borland
TURBOCAD.COM|||Turbo CAD|Graphics|IMSI
TD.EXE|TD.OVL|TDSTRIP.EXE|Turbo Debugger|Programming|Borland International
TURBO.COM|TURBO.MSG|TINST.COM|Turbo Pascal|Programming|Borland
TURBO.EXE|TURBO.TP||Turbo Pascal|Programming|Borland
TP.EXE|TURBO.EXE|TP.CFG|Turbo Print|Utilities|Atled Software
TPROF.EXE|TFHELP.TFH|TFREMOTE.EXE|Turbo Profiler|Programming|Borland International
PROLOG.EXE|||Turbo Prolog|Programming|Borland
TTAX.COM|||Turbo Tax Personal|Applications|Chipsoft
TWIN.EXE|||Twin|Spreadsheets|Mosaic Software, Inc.
