; AutoGen 1.5 recognition database recovered from DirectAccess 5.19
; primary|support file 1|support file 2|program|category|company
CC.EXE|CC30.CFG||Carbon Copy Plus|Communications|Microcom Software Division
CARMEN.EXE|CARMEN.DAT|DETECTIV.DAT|Carmen Sandiego|Education|Broderbund Software, Inc.
CASHFLOW.EXE|||Cashflow|Applications|Cashflow Software
CTGRAF.EXE|||Cashtrac|Applications|Sublogic Corp.
CASHTRAC.EXE|||Cashtrack - Home|Applications|Sublogic Corp.
GATEWAY.EXE|GWADMEND.EXE||cc:Mail Gateway|Communications|cc:Mail, Inc.
MAIL.EXE|NOTIFY.COM|MESSENGR.EXE|cc:Mail LAN|Communications|cc:Mail, Inc.
REMOTE.EXE|SNAPSHOT.COM||cc:Mail Remote|Communications|cc:Mail, Inc.
CCSD.EXE|||CCS Designer|Applications|Magellan Group, Inc.
CELB.EXE|CELB.FC||Celebrity|Word Processing|Good Software Corp.
QUICK.EXE|SAT.EXE||Certus|Utilities|FoundationWare
GR-BG2.EXE|||Championship Backgammon|Games|Spinnaker Software
CM.EXE|BRUN11B.EXE||Chart-Master|Graphics|Ashton-Tate
CHECKIT.EXE|CHECKIT.CNF|CHECKIT.OVL|CheckIt|Utilities|TouchStone Software Corp
CM.COM|CM.OVL|CM.000|CheckMate|Applications|Custom Technologies
CMATE.EXE|REPORT.EXE|HOSPITAL.DAT|CHECKMATE|Applications|Logicare Corporation
CMATEN.EXE|REPORTN.EXE|HOSPITAL.DAT|CHECKMATE - NETWORK|Applications|Logicare Corporation
CMGL.COM|CMGL.OVL|CMGL.000|CheckMate-GL|Applications|Custom Technologies
CHECKOUT.EXE|CHECKOUT.SET||CheckOut|Applications|Logicare Corporation
CHECK31N.EXE|MANAGERN.EXE|HOSPITAL.DAT|CHECKOUT - NETWORK|Applications|Logicare Corporation
CHECK31.EXE|MANAGER.EXE|HOSPITAL.DAT|CHECKOUT Version 3|Applications|Logicare Corporation
CHECK.EXE|CHKS&BAL.CNF|CBNSTL.OVR|Checks & Balances|Applications|CDE Software
CHCKBDGT.COM|||Checks And Budgets|Applications|Parsons Technology
CHESS.EXE|CHESS1.OVL||Chess Master 2000|Games|Software Toolworks, Inc.
2100.EXE|SYSTEM01.FNT||Chess Master 2100|Games|Software Toolworks, Inc.
PROX.EXE|PROXMTY.CFG||Choice Words|Word Processing|Proximity Technology, Inc.
CWI.EXE|CWRAL.EXE||Civil War|Games|Avalon Hill
CLARION.COM|CLARION.OBJ||Clarion Professional|Databases|Clarion Software
SCRAP.EXE|F1.HLH||Clickart Scrapbook+|Desktop Publish|T/MAKER
CLIPPER.COM|||Clipper|Databases|Nantucket Corp.
CLIPPER.EXE|||Clipper|Databases|Nantucket Corp.
CUSTOMER.COM|||Close-up|Communications|Norton-Lambert Corp.
SESSION.BAT|SESSION.CFG||Co/Session|Communications|Triton Technologies, Inc.
COBRA.BAT|EVCALCS.EXE|CAGGREG.EXE|Cobra|Applications|Welcom Software Technology
CSM.EXE|||Codesmith Debugger|Programming|Visual Age
COLORIX.EXE|PRINTIX.EXE|RIXINFO.EXE|ColoRIX|Graphics|Rix Softworks, Inc.
COMPARE.COM|NETCOMP.COM|COMPDEF.SYS|CompareRite|Word Processing|Jurisoft, Inc.
CIM.EXE|||Compuserve Info Manager|Communications|Compuserve
D.EXE|D1P1.MAP|D1P2.MAP|Computer Diplomacy|Games|Avalon Hill
DBMS.COM|||Condor 3|Databases|Condor Computer Corp.
CBOOK|||Cook Book|Applications|Concept Development Assoc.
COREFAST.EXE|||Corefast|Utilities|Core International
COREFAST.EXE|COREFAST.HLP|CFBACK.EXE|Corefast|Utilities|Core International
CORELDRW.EXE|CDCONFIG.SYS||Corel Draw|Windows Apps|Corel Systems
CORNER.BAT|CORNER.EXE||Cornerstone|Databases|Infocom, Inc.
CG.EXE|CGRAMMAR.OV1||Correct Grammar|Word Processing|Lifetree Software, Inc.
COURIER.BAT|DCOURIER.BAT||Courier|Word Processing|Bitstream, Inc.
CPR.BAT|F_IMPORT.FOX|FOXPRUN.EXE|CPR Professional|Applications|PSI Research
DOOM.EXE|DOOM.PIC||Crack of Doom|Games|Addison Wesley Publishing
CW.EXE|SCENE0.ACC||Crime Wave|Games|Access Software, Inc.
XB.EXE|CROSS.EXE|XB.OVL|CrossBase|Applications|MAB Software Solutions, Inc.
XTALK.EXE|STD.XTK||Crosstalk|Communications|Crosstalk Communications
XTALK.EXE|CONFIG.XWC||Crosstalk for Windows|Windows Apps|Crosstalk Communications
XTALK.EXE|XTALK.USR||Crosstalk Mk. 4|Communications|Crosstalk Communications
CRUISE.COM|||Cruise Control|Utilities|Revolution Software, Inc.
CSS.EXE|||CSS|Applications|StatSoft, Inc.
CUBIC.EXE|CUBEMORE.EXE||Cubic TIc Tac Toe|Games|Brown-Wagh Publishing, Inc.
CUBIT.EXE|||Cubit|Utilities|Softlogic Solutions, Inc.
CURS.EXE|STAR.EXE||Curse of Azur Bonds|Games|Strategic Simulations, Inc.
CYCLE21.EXE|||Cycle|Graphics|Pardo Corp.
GPC.BAT|GPCGA.EXE|GPCONFIG.EXE|Cycles|Games|Accolade
DB.EXE|DAVE1.EXE||D.A.V.E.|Spreadsheets|GOLDATA Computer Services, Inc
EASY.EXE|EA-00|EA-02|Dac Easy Accounting 1.0|Applications|DacEasy, Inc.
DEA.EXE|||Dac Easy Accounting 2.0|Applications|DacEasy, Inc.
DEA3.EXE|||Dac Easy Accounting 3.0|Applications|DacEasy, Inc.
DEA4.BAT|DEA4.EXE||Dac Easy Accounting 4.0|Applications|DacEasy, Inc.
DEB.EXE|||Dac Easy Base|Databases|Dac Software, Inc.
LIGHT.EXE|OPTIONS.EXE||Dac Easy Light|Applications|Dac Software, Inc.
DEP3.EXE|||Dac Easy Payroll|Applications|Dac Software, Inc.
DACWORD.EXE|||Dac Easy Word|Word Processing|Dac Software, Inc.
DEW.EXE|||Dac Easy Word II|Word Processing|Dac Software, Inc.
MONDAY.COM|||Daily Diary|Applications|Persimmon Software
DEMO2.EXE|||Dan Bricklin's Demo II|Graphics|Peter Norton Computing, Inc.
DP.COM|DP.OVL|DP.SYS|Data Perfect|Databases|Wordperfect Corp.
DBM2.EXE|||Database Manager II|Databases|AV Systems
DCARE.COM|||Datacare|Utilities|Ellicott Software, Inc.
DEASE.EXE|||Dataease|Databases|DataEase International, Inc.
DFRUN.EXE|||Dataflex|Databases|Aim Management Services, Inc.
DAYFLO.BAT|||Dayflo|Databases|Dayflo, Inc.
DBASE.EXE|DBASE.OVL||dBase|Databases|Ashton-Tate
DBASE2.COM|||dBase II|Databases|Ashton-Tate
DBASE.EXE|||dBase III|Databases|Ashton-Tate
DBASE.EXE|DBASE.MSG||dBase III Plus|Databases|Ashton-Tate
DBASE.EXE|DBASE1.HLP|DBASE.RES|dBase IV|Databases|Ashton-Tate
DCTGRAF.EXE|||Dbase Tools For C|Programming|Ashton-Tate
DBPUB.BAT|DBSTART.COM|IMAGE|dbPUBLISHER|Applications|Digital Composition System
DAS.EXE|||Decision Analysis|Applications|Dynacomp, Inc.
DP.EXE|CAMERA.COM||Deluxepaint II|Graphics|Electronic Arts
DINO.EXE|DINO2.PCX|ICON.PCX|Designasaurus|Education|Britannica Software
DC.EXE|DCPRINT.EXE||DesignCAD|Applications|American Small Business
DC3.EXE|DC3PRINT.EXE||DesignCAD 3-D|Applications|American Small Business
DESK.EXE|DLM.EXE||Desklink|Utilities|Traveling Software, Inc.
DESK.EXE|DESKTOP.PDM||Deskmate|Integrated|Tandy Corporation
HALODPE.EXE|DPG.EXE||Desktop Publisher's|Graphics|IMSI
DESTROYE.EXE|DESTROYR.DAT|AA.EPX|Destroyer|Games|Epyx Computer Software
DM.EXE|BRUN11B.EXE||Diagram-Master|Graphics|Ashton-Tate
DIAGRAPH.EXE|DEFAULT.DIA||Diagraph 2000|Graphics|Computer Support Corp.
DD.EXE|DD.OVL|WP.OVL|Diamond|Integrated|Mosaic Software, Inc.
DD.EXE|PROPRINT.BAT|ADDENDUM.TXT|Diamond|Integrated|Mosaic Software, Inc.
DALOAD.EXE|||Directory Assistant|Databases|Individual Software, Inc.
DO.EXE|ANALYXE.EXE|FINDFILE.COM|Disk Optimizer|Utilities|Softlogic Solutions, Inc.
OPTIMIZE.EXE|OPTIMIZE.PGM|ANALYZE.EXE|Disk Optimizer|Utilities|Softlogic Solutions, Inc.
DL.EXE|DISKLOCK.SYS||DiskLock|Utilities|Fifth Generation Systems, Inc.
DW3.BAT|DW3PG.COM||Displaywrite 3|Word Processing|IBM
DW4PG.COM|DW4.TBL||Displaywrite 4|Word Processing|IBM
DS.BAT|DSMAIN.$VL||Dollars & Sense|Applications|Monogram
ALONE.EXE|MONSTERS.EGA|MYSTERY.MAZ|Don't Go Alone|Games|Accolade
DRHALO.EXE|||Dr. Halo|Graphics|Media Cybernetics, Inc.
RUTH.EXE|||Dr. Ruth|Games|Avalon Hill
DFX.EXE|DFX.CNF||Drafix|Applications|Foresight Resouces Corp.
DREAM.EXE|DREAM.COM||Dream House|Desktop Publish|Computer Easy Int'l.
DSO.COM|DSO.HLP||DS Optimize|Utilities|Design Software, Inc.
E78.EXE|E78GEN.EXE|E78EUS.INT|E78 Plus|Communications|DCA Inc.
WEAVER.EXE|||Earl Weaver Baseball|Games|Electronic Arts
ECAD.EXE|ECAD.MNU||Easy Cad 2|Applications|Evolution Computing
EASY.EXE|EASY.PIF|SETTINGS.PRF|Easy Extra|Word Processing|Micropro International Corp.
MAINP.EXE|||Easy Presentation|Graphics|Brown Bag Software
EP.BAT|EPX.EXE||Easy Project|Applications|Parcell Software
EASYFLOW.COM|EASYFLOW.EXE||Easyflow|Graphics|Haven Tree Software Ltd.
EWII.EXE|||Easywriter II|Word Processing|Computer Associates
ECHELON.EXE|||Echelon|Games|Access Software, Inc.
WORDIX.EXE|||Edix Text Formatter|Word Processing|Emerging Technology Consultant
EGAPAINT.EXE|||EGA Paint|Graphics|Rix Softworks, Inc.
EIGHT.EXE|EIGHT2.OVL||Eight-in-One|Integrated|Spinnaker Software
8020.EXE|EXP.OVL||Eighty/20 Advanced|Project Mgmt|Eighty/20 Software
EXPEED.EXE|FUADD.OVL||Eighty/20 Expeed|Project Mgmt|Eighty/20 Software
EDL.EXE|EDS.EXE||Electric Desk|Integrated|Alpha Software Corp.
EDSC.EXE|CONFIG.EXE||Electric Desk & Spell|Integrated|Alpha Software Corp.
ENABLE.EXE|||Enable|Integrated|Enable Software, Inc.
ENR.EXE|||Enrich|Databases|Migent Software Corp.
EUREKA.EXE|EUREKA.MAC||Eureka|Applications|Borland
CHECK.EXE|CHECK2.EXE|CHECK4.EXE|Express Check|Applications|Expressware
EP.COM|EP.INI||Express Publisher|Desktop Publish|Power Up Software Corp.
CALC.EXE|BW.PRO|SL.PRO|ExpressCalc|Spreadsheets|Expressware
F15.COM|START.EXE||F-15 Strike Eagle II|Games|Microprose Software
F19.COM|START.EXE||F-19 Stealth Fighter|Games|Microprose Software
FALCON.EXE|E0|E1|Falcon|Games|Spectrum Holobyte
FASTFWD.EXE|FFBAT.EXE||Fast Forward|Utilities|Mark Williams Co.
FG.EXE|FAST.CFG|FAST.PRT|Fast Graph Plus|Graphics|Discovery Computer, Inc.
FASTBACK.EXE|FRESTORE.EXE||Fastback|Utilities|Fifth Generation Systems, Inc.
FB.EXE|STARTUP.FB||Fastback Plus|Utilities|Fifth Generation Systems, Inc.
DMENU.EXE|||Fastpak Data|Databases|DHA Systems Software
MMENU.EXE|||Fastpak Mail|Word Processing|DHA Systems & Software
FAST.EXE|||Fastread|Education|Achievement House
FASTTRAX.EXE|||FastTrax|Utilities|Bridgeway Publishing
FW2.EXE|SL.EXE||Fastwire II|Communications|Rupp Software
FD.EXE|FD.CNF|FD.HLP|File Director|Utilities|Fifth Generation Systems, Inc.
FE.EXE|FE-MAIN.EXE|FE-OVL.EXE|File Express|Databases|Expressware
FM.COM|FMANAGER.HLP||File Manager|Applications|Wordperfect Corp.
DRUNMENU.EXE|DCLERCK.EXE|DREPORT.EXE|File Pro|Databases|Small Computer Company
FS.BAT|FS3.EXE||Flight Simulator|Games|Microsoft
FS4.EXE|FOREIGN.FS4|KB1.KBD|Flight Simulator|Games|MicroSoft
FLOW.EXE|||Flow Charting II +|Utilities|Pacesetter Software
FONTA.EXE|MAKESHOW.COM|TITLE.MVE|Fontavision|Games|Broderbond Software, Inc.
FONTRIX.EXE|||Fontrix|Word Processing|Data Transforms, Inc.
FCAUTHOR.EXE|FC.OV1||For Comment|Word Processing|Broderbond Software, Inc.
FCREVIEW.EXE|FCUNLOCK.COM||For Comment|Word Processing|Broderbond Software, Inc.
FF.EXE|FF.HLP||Formfiller|Desktop Publish|Bloc Publishing Corp.
FORMSET.EXE|FSLPASTE.EXE||Formset|Graphics|Softview, Inc.
FORMTOOL.EXE|FORMTOOL.DOC||Formtool|Desktop Publish|Bloc Publishing Corp.
FT.EXE|FORMTOOL.BLC||Formtool Gold|Desktop Publish|Bloc Publishing Corp.
FORM.EXE|FORM.SYS||Formworx|Desktop Publish|Formworx Corp.
FT.COM|FTREC.$$$|FTBUILD.OVR|Fortune Teller|Applications|Electronic Crystal Ball (the)
FOXPLUS.EXE|FOX.HLP||Foxbase +|Databases|Fox Software, Inc.
MFOXPLUS.EXE|MFOXPLUS.OVL||Foxbase +|Databases|Fox Software, Inc.
FOXPLUS.EXE|||Foxbase Plus|Databases|Fox Software, Inc.
FOXPRO.EXE|DFINST.EXE|DFLOW.EXE|FoxPro|Databases|Fox Software, Inc.
FW.EXE|FW.OVL||Framework|Integrated|Ashton-Tate
FRW.EXE|||Freeway|Communications|Champion Business Systems
GALAXY.EXE|GALMAIN.DIC|GALAXY.MSG|Galaxy 2.43|Word Processing|PSI Research
GBA.EXE|GAMESTAR.PIC||GBA Basktball|Games|Gamestar
TGSMENU.EXE|||General Store|Applications|Crichlow Data Sciences, Inc.
G3D.EXE|||Generic 3-D|Graphics|Generic Software, Inc.
AUTOCON.EXE|||Generic Autoconvert|Applications|Generic Software, Inc.
CADD.EXE|||Generic Cadd|Graphics|BV Engineering
GEN.EXE|GEN.OVL||Genifer|Programming|Bytel Corp.
GEOS.EXE|GEO.INI|SETUP.EXE|Geoworks Ensemble|Integrated|Geoworks
FOOTBALL.EXE|GAMESTAR.CGS||GFL Football|Games|Gamestar
GLYPHIX.COM|||Glyphix Font Manager|Word Processing|Swfte International
GSSTAT.EXE|GSSTAT.OVL|GSTAHELP.CMP|GoldSpread Stat|Spreadsheets|PSI Research
GMK2.EXE|||Grammatik II|Word Processing|Reference Software
GMK3.EXE|DICTUTIL.EXE||Grammatik III|Word Processing|Reference Software
G4.EXE|G4.DIC||Grammatik IV|Word Processing|Reference Software
GP.EXE|DETROIT.PC5||Grand Prix|Games|Accolade
GP.EXE|STATUS.PCS|XTRACKA.PCS|Grand Prix Circuit|Games|Accolade
BRIDGE|||Grand Slam Bridge|Games|Cybron, Inc.
GV.EXE|GVCONG.PV||Grandview|Utilities|Symantec
KENNEDY.BAT|MIRKWOOD.DAT||Guardians Of Infinity|Games|Paragon Software
GUIDE.EXE|||Guide|Applications|Owl International, Inc.
GS.EXE|G5B.MAP||Gulf Strike|Games|Avalon Hill
HB2.BAT|HB.FNT|HB2.FNT|Hard Ball II|Games|Accolade
HG.EXE|HG.OVL|HGMAIN.OVL|Harvard Graphics|Graphics|Software Publishing Corp.
HPG.EXE|||Harvard Presentation|Graphics|Software Publishing Corp.
FP.EXE|||Harvard Professional|Desktop Publish|Software Publishing Corp.
HTPM.EXE|||Harvard Total Project|Project Mgmt|Software Publishing Corp.
HL.EXE|X1065|X1565|Headliner|Applications|Salinon Software, Inc.
METAL.EXE|||Heavy Metal|Games|Access Software, Inc.
HELI.COM|HELI.SYS|HELI0.MDL|Helicopter 3-D|Games|Sierra On-line, Inc.
DFORMS.BAT|||Helvetica: Forms|Word Processing|Adobe Systems, Inc.
DHELV-L.BAT|||Helvetica: Landscape|Word Processing|Adobe Systems, Inc.
DVU-H1-L.BAT|||Helvetica: Landscape|Word Processing|Adobe Systems, Inc.
DVU-H2-L.BAT|||Helvetica: Landscape|Word Processing|Adobe Systems, Inc.
DHELV-P.BAT|||Helvetica: Portrait|Word Processing|Adobe Systems, Inc.
DVU-H1-P.BAT|||Helvetica: Portrait|Word Processing|Adobe Systems, Inc.
DVU-H2-P.BAT|||Helvetica: Portrait|Word Processing|Adobe Systems, Inc.
HIJAAK.EXE|CONVERT.EXE||HiJaak|Graphics|Inset Systems, Inc.
HITCHHIK.COM|HITCHHIK.DAT||Hitchhiker's Guide|Games|Infocom, Inc.
